Rk,Player,G,RushingAtt,RushingYds,RushingAvg,RushingTD,ReceivingRec,ReceivingYds,ReceivingAvg,ReceivingTD,ScrimmagePlays,ScrimmageYds,ScrimmageAvg,ScrimmageTD,Season
3,Coley O'Brien,10.0,64.0,314.0,4.9,3.0,16.0,272.0,17.0,4.0,80,586,7.3,7,1968
4,Jeff Zimmerman,10.0,63.0,267.0,4.2,0.0,4.0,24.0,6.0,0.0,67,291,4.3,0,1968
5,Joe Theismann,10.0,59.0,259.0,4.4,4.0,1.0,13.0,13.0,1.0,60,272,4.5,5,1968
6,Terry Hanratty,10.0,56.0,279.0,5.0,4.0,,,,,56,279,5.0,4,1968
7,Charles Landolfi,10.0,38.0,203.0,5.3,2.0,1.0,25.0,25.0,0.0,39,228,5.8,2,1968
8,Frank Criniti,10.0,33.0,151.0,4.6,3.0,,,,,33,151,4.6,3,1968
9,Denny Allan,10.0,33.0,105.0,3.2,3.0,7.0,93.0,13.3,1.0,40,198,5.0,4,1968
10,Ed Ziegler,10.0,30.0,163.0,5.4,2.0,,,,,30,163,5.4,2,1968
11,Bob Belden,10.0,18.0,83.0,4.6,0.0,,,,,18,83,4.6,0,1968
12,Bill Barz,10.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0,1968
13,Scott Hempel,10.0,1.0,-12.0,-12.0,0.0,,,,,1,-12,-12.0,0,1968
14,Jim DeArrieta,10.0,1.0,-13.0,-13.0,0.0,,,,,1,-13,-13.0,0,1968
15,Jim Seymour,10.0,,,,1.0,53.0,736.0,13.9,4.0,53,736,13.9,5,1968
16,Jim Winegardner,10.0,,,,,14.0,179.0,12.8,0.0,14,179,12.8,0,1968
17,George Eaton,10.0,,,,,5.0,73.0,14.6,1.0,5,73,14.6,1,1968
18,Paul Snow,10.0,,,,,1.0,11.0,11.0,0.0,1,11,11.0,0,1968
1,Denny Allan,10.0,148.0,612.0,4.1,9.0,11.0,199.0,18.1,0.0,159,811,5.1,9,1969
2,Joe Theismann,10.0,116.0,378.0,3.3,6.0,,,,,116,378,3.3,6,1969
3,Ed Ziegler,10.0,94.0,483.0,5.1,2.0,7.0,116.0,16.6,2.0,101,599,5.9,4,1969
4,Bill Barz,10.0,90.0,362.0,4.0,5.0,24.0,262.0,10.9,2.0,114,624,5.5,7,1969
5,Andy Huff,10.0,69.0,265.0,3.8,5.0,4.0,28.0,7.0,1.0,73,293,4.0,6,1969
6,Mike Crotty,10.0,43.0,183.0,4.3,0.0,2.0,8.0,4.0,0.0,45,191,4.2,0,1969
7,Bill Etter,10.0,29.0,310.0,10.7,3.0,,,,,29,310,10.7,3,1969
8,Jim Yoder,10.0,23.0,130.0,5.7,1.0,2.0,22.0,11.0,0.0,25,152,6.1,1,1969
9,Dick Zielony,10.0,22.0,68.0,3.1,0.0,,,,,22,68,3.1,0,1969
10,Bob Minnix,10.0,19.0,78.0,4.1,0.0,1.0,16.0,16.0,0.0,20,94,4.7,0,1969
11,Bill Gallagher,10.0,4.0,16.0,4.0,0.0,,,,,4,16,4.0,0,1969
12,Ed Gulyas,10.0,3.0,20.0,6.7,0.0,,,,,3,20,6.7,0,1969
13,Tom Gores,10.0,2.0,0.0,0.0,0.0,,,,,2,0,0.0,0,1969
14,Tom Gatewood,10.0,1.0,0.0,0.0,0.0,47.0,743.0,15.8,8.0,48,743,15.5,8,1969
15,Dewey Poskon,10.0,,,,,13.0,176.0,13.5,0.0,13,176,13.5,0,1969
16,Nick Furlong,10.0,,,,,2.0,14.0,7.0,0.0,2,14,7.0,0,1969
1,Joe Theismann,10.0,124.0,384.0,3.1,4.0,1.0,7.0,7.0,0.0,125,391,3.1,4,1970
2,Ed Gulyas,10.0,118.0,534.0,4.5,3.0,9.0,189.0,21.0,2.0,127,723,5.7,5,1970
3,Denny Allan,10.0,111.0,401.0,3.6,7.0,11.0,166.0,15.1,1.0,122,567,4.6,8,1970
4,Bill Barz,10.0,88.0,352.0,4.0,4.0,13.0,127.0,9.8,1.0,101,479,4.7,5,1970
5,Bob Minnix,10.0,50.0,230.0,4.6,2.0,1.0,40.0,40.0,1.0,51,270,5.3,3,1970
6,Darryll Dewan,10.0,46.0,158.0,3.4,3.0,8.0,87.0,10.9,0.0,54,245,4.5,3,1970
7,John Cieszkowski,10.0,44.0,187.0,4.3,3.0,7.0,79.0,11.3,1.0,51,266,5.2,4,1970
8,Larry Parker,10.0,26.0,201.0,7.7,2.0,10.0,208.0,20.8,1.0,36,409,11.4,3,1970
9,Pat Steenberge,10.0,15.0,45.0,3.0,1.0,,,,,15,45,3.0,1,1970
10,Bill Gallagher,10.0,7.0,44.0,6.3,0.0,,,,,7,44,6.3,0,1970
11,Ron Johnson,10.0,3.0,16.0,5.3,0.0,,,,,3,16,5.3,0,1970
12,Chuck Nightingale,10.0,3.0,6.0,2.0,0.0,,,,,3,6,2.0,0,1970
13,Bill Trapp,10.0,2.0,20.0,10.0,0.0,4.0,31.0,7.8,0.0,6,51,8.5,0,1970
14,Terry Garner,10.0,1.0,5.0,5.0,0.0,,,,,1,5,5.0,0,1970
15,Tom Wright,10.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0,1970
16,Denny Gutowski,10.0,1.0,0.0,0.0,0.0,,,,,1,0,0.0,0,1970
17,Tom Gatewood,10.0,,,,,77.0,1123.0,14.6,7.0,77,1123,14.6,7,1970
18,Mike Creaney,10.0,,,,,17.0,399.0,23.5,2.0,17,399,23.5,2,1970
19,John Tereschuk,10.0,,,,,3.0,56.0,18.7,0.0,3,56,18.7,0,1970
20,Jim Yoder,10.0,,,,,1.0,15.0,15.0,0.0,1,15,15.0,0,1970
1,Larry Parker,10.0,80.0,299.0,3.7,2.0,10.0,109.0,10.9,0.0,90,408,4.5,2,1971
2,Bob Minnix,9.0,78.0,337.0,4.3,5.0,5.0,29.0,5.8,0.0,83,366,4.4,5,1971
3,Cliff Brown,9.0,77.0,253.0,3.3,2.0,,,,,77,253,3.3,2,1971
4,John Cieszkowski,9.0,69.0,316.0,4.6,2.0,,,,,69,316,4.6,2,1971
5,Andy Huff,9.0,68.0,295.0,4.3,2.0,4.0,39.0,9.8,0.0,72,334,4.6,2,1971
6,Ed Gulyas,5.0,56.0,220.0,3.9,5.0,3.0,16.0,5.3,0.0,59,236,4.0,5,1971
7,Bill Gallagher,10.0,49.0,180.0,3.7,0.0,4.0,69.0,17.3,0.0,53,249,4.7,0,1971
8,Darryll Dewan,8.0,35.0,119.0,3.4,2.0,4.0,42.0,10.5,0.0,39,161,4.1,2,1971
9,Bill Etter,4.0,35.0,114.0,3.3,0.0,,,,,35,114,3.3,0,1971
10,Pat Steenberge,8.0,23.0,5.0,0.2,0.0,,,,,23,5,0.2,0,1971
11,Gary Diminick,8.0,17.0,61.0,3.6,0.0,2.0,14.0,7.0,0.0,19,75,3.9,0,1971
12,Greg Hill,8.0,16.0,84.0,5.3,1.0,1.0,7.0,7.0,0.0,17,91,5.4,1,1971
13,Jim Bulger,3.0,4.0,-1.0,-0.3,0.0,,,,,4,-1,-0.3,0,1971
14,Willie Townsend,9.0,3.0,32.0,10.7,1.0,8.0,95.0,11.9,0.0,11,127,11.5,1,1971
15,Tom Gatewood,10.0,2.0,-7.0,-3.5,0.0,33.0,417.0,12.6,4.0,35,410,11.7,4,1971
16,Tim Rudnick,10.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0,1971
17,Mike Creaney,10.0,,,,,11.0,151.0,13.7,1.0,11,151,13.7,1,1971
18,Dave Casper,10.0,,,,,1.0,12.0,12.0,0.0,1,12,12.0,0,1971
19,Bill Trapp,1.0,,,,,1.0,8.0,8.0,0.0,1,8,8.0,0,1971
1,Eric Penick,9.0,124.0,727.0,5.9,5.0,2.0,9.0,4.5,0.0,126,736,5.8,5,1972
2,Andy Huff,10.0,115.0,567.0,4.9,10.0,9.0,102.0,11.3,0.0,124,669,5.4,10,1972
3,Tom Clements,10.0,86.0,341.0,4.0,4.0,,,,,86,341,4.0,4,1972
4,Gary Diminick,10.0,71.0,377.0,5.3,2.0,14.0,143.0,10.2,1.0,85,520,6.1,3,1972
5,Darryll Dewan,8.0,62.0,319.0,5.1,1.0,4.0,53.0,13.3,0.0,66,372,5.6,1,1972
6,John Cieszkowski,8.0,54.0,212.0,3.9,3.0,4.0,40.0,10.0,0.0,58,252,4.3,3,1972
7,Wayne Bullock,9.0,27.0,123.0,4.6,0.0,2.0,32.0,16.0,0.0,29,155,5.3,0,1972
8,Art Best,4.0,17.0,158.0,9.3,2.0,,,,,17,158,9.3,2,1972
9,Al Samuel,9.0,14.0,41.0,2.9,1.0,,,,,14,41,2.9,1,1972
10,Russ Kornman,4.0,10.0,79.0,7.9,0.0,,,,,10,79,7.9,0,1972
11,Ron Goodman,4.0,4.0,-3.0,-0.8,0.0,,,,,4,-3,-0.8,0,1972
12,Cliff Brown,10.0,3.0,-12.0,-4.0,0.0,,,,,3,-12,-4.0,0,1972
13,Jim Roolf,5.0,2.0,49.0,24.5,0.0,6.0,108.0,18.0,1.0,8,157,19.6,1,1972
14,Willie Townsend,9.0,2.0,43.0,21.5,0.0,25.0,369.0,14.8,4.0,27,412,15.3,4,1972
15,Pete Demmerle,5.0,1.0,23.0,23.0,0.0,,,,,1,23,23.0,0,1972
16,Bob Washington,4.0,1.0,8.0,8.0,0.0,1.0,12.0,12.0,0.0,2,20,10.0,0,1972
17,Bill Etter,1.0,1.0,-9.0,-9.0,0.0,,,,,1,-9,-9.0,0,1972
18,Mike Creaney,10.0,,,,,17.0,321.0,18.9,2.0,17,321,18.9,2,1972
19,Dave Casper,10.0,,,,,1.0,6.0,6.0,0.0,1,6,6.0,0,1972
1,Wayne Bullock,10.0,162.0,752.0,4.6,10.0,8.0,83.0,10.4,1.0,170,835,4.9,11,1973
2,Art Best,10.0,118.0,700.0,5.9,3.0,4.0,48.0,12.0,0.0,122,748,6.1,3,1973
3,Eric Penick,10.0,102.0,586.0,5.7,7.0,2.0,16.0,8.0,0.0,104,602,5.8,7,1973
4,Tom Clements,10.0,89.0,360.0,4.0,4.0,,,,,89,360,4.0,4,1973
5,Al Samuel,8.0,33.0,221.0,6.7,2.0,1.0,11.0,11.0,0.0,34,232,6.8,2,1973
6,Al Hunter,10.0,32.0,150.0,4.7,3.0,2.0,12.0,6.0,0.0,34,162,4.8,3,1973
7,Tom Parise,5.0,31.0,164.0,5.3,1.0,,,,,31,164,5.3,1,1973
8,Cliff Brown,8.0,22.0,134.0,6.1,2.0,,,,,22,134,6.1,2,1973
9,Russ Kornman,5.0,21.0,94.0,4.5,0.0,1.0,35.0,35.0,0.0,22,129,5.9,0,1973
10,Ron Goodman,9.0,21.0,86.0,4.1,1.0,4.0,84.0,21.0,0.0,25,170,6.8,1,1973
11,Gary Diminick,9.0,19.0,121.0,6.4,1.0,2.0,21.0,10.5,0.0,21,142,6.8,1,1973
12,Frank Allocco,5.0,16.0,86.0,5.4,1.0,,,,,16,86,5.4,1,1973
13,Tim Simon,7.0,2.0,24.0,12.0,0.0,,,,,2,24,12.0,0,1973
14,John Gambone,1.0,1.0,8.0,8.0,0.0,,,,,1,8,8.0,0,1973
15,Dan Knott,1.0,1.0,7.0,7.0,0.0,,,,,1,7,7.0,0,1973
16,Willie Townsend,7.0,1.0,4.0,4.0,0.0,4.0,68.0,17.0,1.0,5,72,14.4,1,1973
17,Jim Weiler,1.0,1.0,4.0,4.0,0.0,1.0,2.0,2.0,0.0,2,6,3.0,0,1973
18,Greg Hill,1.0,1.0,1.0,1.0,0.0,,,,,1,1,1.0,0,1973
19,Pete Demmerle,10.0,,,,,26.0,404.0,15.5,5.0,26,404,15.5,5,1973
20,Dave Casper,10.0,,,,,19.0,317.0,16.7,4.0,19,317,16.7,4,1973
21,Robin Weber,9.0,,,,,1.0,11.0,11.0,0.0,1,11,11.0,0,1973
1,Wayne Bullock,10.0,203.0,855.0,4.2,12.0,11.0,103.0,9.4,0.0,214,958,4.5,12,1974
2,Al Samuel,11.0,95.0,525.0,5.5,2.0,14.0,134.0,9.6,0.0,109,659,6.0,2,1974
3,Tom Clements,11.0,95.0,369.0,3.9,4.0,,,,,95,369,3.9,4,1974
4,Art Best,7.0,51.0,241.0,4.7,0.0,3.0,54.0,18.0,0.0,54,295,5.5,0,1974
5,Mark McLane,8.0,42.0,207.0,4.9,2.0,5.0,56.0,11.2,0.0,47,263,5.6,2,1974
6,Tom Parise,9.0,40.0,207.0,5.2,1.0,,,,,40,207,5.2,1,1974
7,Jim Weiler,11.0,30.0,133.0,4.4,0.0,3.0,21.0,7.0,0.0,33,154,4.7,0,1974
8,Ron Goodman,11.0,25.0,144.0,5.8,1.0,14.0,149.0,10.6,0.0,39,293,7.5,1,1974
9,Russ Kornman,7.0,25.0,99.0,4.0,4.0,6.0,57.0,9.5,0.0,31,156,5.0,4,1974
10,Terry Eurick,7.0,19.0,131.0,6.9,1.0,1.0,6.0,6.0,0.0,20,137,6.9,1,1974
11,Frank Allocco,11.0,17.0,36.0,2.1,2.0,,,,,17,36,2.1,2,1974
12,Rick Slager,4.0,12.0,82.0,6.8,0.0,,,,,12,82,6.8,0,1974
13,Eric Penick,4.0,12.0,14.0,1.2,0.0,1.0,2.0,2.0,0.0,13,16,1.2,0,1974
14,Mike Parseghian,3.0,7.0,32.0,4.6,0.0,,,,,7,32,4.6,0,1974
15,Tom Bake,2.0,5.0,23.0,4.6,1.0,,,,,5,23,4.6,1,1974
16,Kevin Doherty,5.0,2.0,9.0,4.5,0.0,4.0,59.0,14.8,1.0,6,68,11.3,1,1974
17,John Rufo,2.0,2.0,8.0,4.0,0.0,,,,,2,8,4.0,0,1974
18,Chuck Kelly,1.0,1.0,3.0,3.0,0.0,,,,,1,3,3.0,0,1974
19,Kerry Moriarty,1.0,1.0,1.0,1.0,0.0,,,,,1,1,1.0,0,1974
20,Pete Demmerle,10.0,,,,,43.0,667.0,15.5,6.0,43,667,15.5,6,1974
21,Ken MacAfee,10.0,,,,,14.0,146.0,10.4,1.0,14,146,10.4,1,1974
22,Robin Weber,8.0,,,,,13.0,206.0,15.8,1.0,13,206,15.8,1,1974
1,Jerome Heavens,11.0,129.0,756.0,5.9,5.0,8.0,64.0,8.0,0.0,137,820,6.0,5,1975
2,Al Hunter,10.0,117.0,558.0,4.8,8.0,10.0,87.0,8.7,0.0,127,645,5.1,8,1975
3,Jim Browner,9.0,104.0,394.0,3.8,2.0,2.0,16.0,8.0,0.0,106,410,3.9,2,1975
4,Mark McLane,11.0,54.0,228.0,4.2,0.0,21.0,277.0,13.2,1.0,75,505,6.7,1,1975
5,Rick Slager,10.0,51.0,27.0,0.5,1.0,,,,,51,27,0.5,1,1975
6,Terry Eurick,10.0,36.0,154.0,4.3,0.0,3.0,30.0,10.0,0.0,39,184,4.7,0,1975
7,Steve Orsini,10.0,28.0,95.0,3.4,0.0,,,,,28,95,3.4,0,1975
8,Joe Montana,7.0,25.0,-5.0,-0.2,2.0,,,,,25,-5,-0.2,2,1975
9,Jim Weiler,11.0,9.0,46.0,5.1,0.0,2.0,-2.0,-1.0,0.0,11,44,4.0,0,1975
10,Dan Knott,8.0,9.0,46.0,5.1,1.0,,,,,9,46,5.1,1,1975
11,Frank Allocco,6.0,3.0,8.0,2.7,0.0,,,,,3,8,2.7,0,1975
12,Ted Burgmeier,9.0,1.0,50.0,50.0,0.0,10.0,185.0,18.5,1.0,11,235,21.4,1,1975
13,Kris Haines,8.0,1.0,28.0,28.0,0.0,,,,,1,28,28.0,0,1975
14,Steve Schmitz,2.0,1.0,9.0,9.0,0.0,1.0,9.0,9.0,0.0,2,18,9.0,0,1975
15,Russ Kornman,1.0,1.0,6.0,6.0,0.0,,,,,1,6,6.0,0,1975
16,Ken MacAfee,11.0,,,,,26.0,333.0,12.8,5.0,26,333,12.8,5,1975
17,Dan Kelleher,11.0,,,,,12.0,171.0,14.3,0.0,12,171,14.3,0,1975
18,Dave Huffman,6.0,,,,,1.0,16.0,16.0,0.0,1,16,16.0,0,1975
1,Al Hunter,11.0,233.0,1058.0,4.5,12.0,15.0,189.0,12.6,1.0,248,1247,5.0,13,1976
2,Vagas Ferguson,8.0,81.0,350.0,4.3,2.0,3.0,27.0,9.0,1.0,84,377,4.5,3,1976
3,Jerome Heavens,3.0,54.0,204.0,3.8,0.0,2.0,22.0,11.0,0.0,56,226,4.0,0,1976
4,Rick Slager,10.0,49.0,-78.0,-1.6,2.0,,,,,49,-78,-1.6,2,1976
5,Terry Eurick,10.0,46.0,230.0,5.0,0.0,5.0,65.0,13.0,1.0,51,295,5.8,1,1976
6,Willard Browner,10.0,41.0,170.0,4.1,0.0,5.0,53.0,10.6,2.0,46,223,4.8,2,1976
7,Rusty Lisch,6.0,37.0,77.0,2.1,4.0,,,,,37,77,2.1,4,1976
8,Steve Orsini,11.0,33.0,159.0,4.8,0.0,4.0,47.0,11.8,0.0,37,206,5.6,0,1976
9,Mark McLane,7.0,18.0,56.0,3.1,0.0,9.0,110.0,12.2,2.0,27,166,6.1,2,1976
10,Dan Knott,2.0,5.0,25.0,5.0,0.0,,,,,5,25,5.0,0,1976
11,Tom Domin,11.0,5.0,18.0,3.6,0.0,5.0,124.0,24.8,1.0,10,142,14.2,1,1976
12,Gary Forystek,3.0,5.0,-6.0,-1.2,0.0,,,,,5,-6,-1.2,0,1976
13,Dave Waymer,10.0,2.0,17.0,8.5,0.0,,,,,2,17,8.5,0,1976
14,Ken MacAfee,11.0,,,,,34.0,483.0,14.2,3.0,34,483,14.2,3,1976
15,Dan Kelleher,11.0,,,,,24.0,522.0,21.8,4.0,24,522,21.8,4,1976
16,Kris Haines,11.0,,,,,3.0,64.0,21.3,0.0,3,64,21.3,0,1976
17,Speedy Hart,3.0,,,,,1.0,9.0,9.0,0.0,1,9,9.0,0,1976
18,Steve Schmitz,11.0,,,,,1.0,6.0,6.0,0.0,1,6,6.0,0,1976
1,Jerome Heavens,11.0,229.0,994.0,4.3,6.0,12.0,133.0,11.1,0.0,241,1127,4.7,6,1977
2,Dave Mitchell,11.0,82.0,303.0,3.7,4.0,10.0,106.0,10.6,1.0,92,409,4.4,5,1977
3,Vagas Ferguson,9.0,80.0,493.0,6.2,6.0,6.0,96.0,16.0,1.0,86,589,6.8,7,1977
4,Terry Eurick,11.0,68.0,291.0,4.3,4.0,12.0,79.0,6.6,3.0,80,370,4.6,7,1977
5,Rusty Lisch,10.0,32.0,17.0,0.5,1.0,,,,,32,17,0.5,1,1977
6,Joe Montana,9.0,32.0,5.0,0.2,6.0,,,,,32,5,0.2,6,1977
7,Jim Stone,10.0,29.0,193.0,6.7,2.0,3.0,30.0,10.0,1.0,32,223,7.0,3,1977
8,Steve Orsini,8.0,20.0,85.0,4.3,0.0,7.0,69.0,9.9,0.0,27,154,5.7,0,1977
9,Pete Pallas,4.0,17.0,85.0,5.0,0.0,,,,,17,85,5.0,0,1977
10,Dave Waymer,11.0,8.0,30.0,3.8,0.0,10.0,164.0,16.4,1.0,18,194,10.8,1,1977
11,Dan Knott,4.0,8.0,19.0,2.4,0.0,,,,,8,19,2.4,0,1977
12,Steve Dover,2.0,3.0,8.0,2.7,0.0,,,,,3,8,2.7,0,1977
13,Tom Domin,11.0,3.0,2.0,0.7,0.0,4.0,51.0,12.8,0.0,7,53,7.6,0,1977
14,Mike Courey,4.0,2.0,10.0,5.0,0.0,,,,,2,10,5.0,0,1977
15,Greg Knafelc,2.0,2.0,2.0,1.0,0.0,,,,,2,2,1.0,0,1977
16,Tim Koegel,3.0,2.0,-3.0,-1.5,0.0,,,,,2,-3,-1.5,0,1977
17,Ted Burgmeier,11.0,1.0,21.0,21.0,0.0,,,,,1,21,21.0,0,1977
18,Gary Forystek,2.0,1.0,4.0,4.0,0.0,,,,,1,4,4.0,0,1977
19,Steve Schmitz,11.0,1.0,2.0,2.0,0.0,3.0,33.0,11.0,1.0,4,35,8.8,1,1977
20,Joe Restic,11.0,1.0,-10.0,-10.0,0.0,,,,,1,-10,-10.0,0,1977
21,Ken MacAfee,11.0,,,,,54.0,797.0,14.8,6.0,54,797,14.8,6,1977
22,Kris Haines,11.0,,,,,28.0,587.0,21.0,2.0,28,587,21.0,2,1977
23,Ty Dickerson,8.0,,,,,6.0,98.0,16.3,0.0,6,98,16.3,0,1977
24,Speedy Hart,6.0,,,,,1.0,31.0,31.0,1.0,1,31,31.0,1,1977
25,Leo Driscoll,1.0,,,,,1.0,6.0,6.0,0.0,1,6,6.0,0,1977
26,Mark Czaja,11.0,,,,,1.0,4.0,4.0,0.0,1,4,4.0,0,1977
27,Kevin Hart,9.0,,,,,1.0,4.0,4.0,1.0,1,4,4.0,1,1977
1,Vagas Ferguson,11.0,211.0,1192.0,5.6,7.0,20.0,171.0,8.6,1.0,231,1363,5.9,8,1978
2,Jerome Heavens,10.0,178.0,728.0,4.1,4.0,13.0,113.0,8.7,0.0,191,841,4.4,4,1978
3,Joe Montana,11.0,72.0,104.0,1.4,6.0,,,,,72,104,1.4,6,1978
4,Jim Stone,11.0,28.0,109.0,3.9,1.0,8.0,69.0,8.6,0.0,36,178,4.9,1,1978
5,Pete Buchanan,11.0,22.0,67.0,3.0,2.0,3.0,18.0,6.0,0.0,25,85,3.4,2,1978
6,Pete Pallas,10.0,16.0,82.0,5.1,0.0,4.0,64.0,16.0,1.0,20,146,7.3,1,1978
7,Dave Mitchell,8.0,12.0,38.0,3.2,0.0,1.0,11.0,11.0,0.0,13,49,3.8,0,1978
8,Mike Courey,5.0,4.0,-10.0,-2.5,0.0,,,,,4,-10,-2.5,0,1978
9,Tim Koegel,4.0,4.0,-19.0,-4.8,0.0,,,,,4,-19,-4.8,0,1978
10,Ty Barber,8.0,3.0,6.0,2.0,0.0,1.0,-4.0,-4.0,0.0,4,2,0.5,0,1978
11,Tony Belden,11.0,3.0,5.0,1.7,0.0,,,,,3,5,1.7,0,1978
12,Greg Knafelc,9.0,3.0,2.0,0.7,0.0,,,,,3,2,0.7,0,1978
13,Dean Masztak,11.0,2.0,3.0,1.5,0.0,13.0,236.0,18.2,0.0,15,239,15.9,0,1978
14,Pete Holohan,10.0,2.0,-12.0,-6.0,0.0,20.0,301.0,15.1,1.0,22,289,13.1,1,1978
15,Mike Boushka,3.0,1.0,4.0,4.0,0.0,,,,,1,4,4.0,0,1978
16,Kris Haines,11.0,,,,,32.0,699.0,21.8,5.0,32,699,21.8,5,1978
17,Dennis Grindinger,11.0,,,,,16.0,177.0,11.1,2.0,16,177,11.1,2,1978
18,Dave Condeni,9.0,,,,,7.0,87.0,12.4,0.0,7,87,12.4,0,1978
19,Kevin Hart,11.0,,,,,5.0,60.0,12.0,0.0,5,60,12.0,0,1978
20,Nick Vehr,9.0,,,,,2.0,38.0,19.0,0.0,2,38,19.0,0,1978
21,Lou Pagley,4.0,,,,,1.0,16.0,16.0,0.0,1,16,16.0,0,1978
1,Vagas Ferguson,11.0,301.0,1437.0,4.8,17.0,14.0,72.0,5.1,0.0,315,1509,4.8,17,1979
2,Rusty Lisch,10.0,58.0,-36.0,-0.6,2.0,1.0,3.0,3.0,0.0,59,-33,-0.6,2,1979
3,Ty Barber,11.0,40.0,172.0,4.3,1.0,9.0,106.0,11.8,0.0,49,278,5.7,1,1979
4,Jim Stone,11.0,37.0,156.0,4.2,1.0,1.0,3.0,3.0,0.0,38,159,4.2,1,1979
5,Phil Carter,9.0,27.0,145.0,5.4,0.0,1.0,4.0,4.0,0.0,28,149,5.3,0,1979
6,Bernie Adell,11.0,20.0,93.0,4.7,0.0,1.0,-1.0,-1.0,0.0,21,92,4.4,0,1979
7,Mike Courey,5.0,17.0,28.0,1.6,0.0,,,,,17,28,1.6,0,1979
8,John Sweeney,10.0,9.0,33.0,3.7,0.0,2.0,12.0,6.0,0.0,11,45,4.1,0,1979
9,Tim Koegel,11.0,6.0,-7.0,-1.2,0.0,,,,,6,-7,-1.2,0,1979
10,Ty Dickerson,9.0,1.0,4.0,4.0,0.0,16.0,361.0,22.6,0.0,17,365,21.5,0,1979
11,Dean Masztak,11.0,,,,,28.0,428.0,15.3,2.0,28,428,15.3,2,1979
12,Tony Hunter,10.0,,,,,27.0,690.0,25.6,2.0,27,690,25.6,2,1979
13,Pete Holohan,11.0,,,,,22.0,386.0,17.5,0.0,22,386,17.5,0,1979
14,Nick Vehr,11.0,,,,,6.0,56.0,9.3,2.0,6,56,9.3,2,1979
15,Kevin Hart,10.0,,,,,1.0,27.0,27.0,0.0,1,27,27.0,0,1979
16,Mike Boushka,11.0,,,,,1.0,11.0,11.0,0.0,1,11,11.0,0,1979
1,Jim Stone,11.0,192.0,908.0,4.7,7.0,3.0,29.0,9.7,0.0,195,937,4.8,7,1980
2,Phil Carter,7.0,186.0,822.0,4.4,6.0,5.0,27.0,5.4,0.0,191,849,4.4,6,1980
3,Blair Kiel,11.0,71.0,148.0,2.1,3.0,,,,,71,148,2.1,3,1980
4,John Sweeney,11.0,50.0,202.0,4.0,0.0,4.0,21.0,5.3,0.0,54,223,4.1,0,1980
5,Mike Courey,8.0,40.0,182.0,4.6,1.0,,,,,40,182,4.6,1,1980
6,Ty Barber,10.0,38.0,128.0,3.4,2.0,,,,,38,128,3.4,2,1980
7,Pete Buchanan,11.0,27.0,78.0,2.9,1.0,2.0,-6.0,-3.0,0.0,29,72,2.5,1,1980
8,John Mosley,7.0,12.0,37.0,3.1,0.0,,,,,12,37,3.1,0,1980
9,Greg Bell,5.0,5.0,66.0,13.2,1.0,,,,,5,66,13.2,1,1980
10,Tony Hunter,9.0,5.0,52.0,10.4,0.0,23.0,303.0,13.2,1.0,28,355,12.7,1,1980
11,Larry Moriarty,9.0,3.0,78.0,26.0,0.0,,,,,3,78,26.0,0,1980
12,Rodney Morris,3.0,2.0,1.0,0.5,0.0,,,,,2,1,0.5,0,1980
13,Rob McGarry,9.0,1.0,2.0,2.0,1.0,,,,,1,2,2.0,1,1980
14,Scott Grooms,3.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0,1980
15,Bernie Adell,1.0,1.0,2.0,2.0,0.0,,,,,1,2,2.0,0,1980
16,Tim Tripp,7.0,1.0,-2.0,-2.0,0.0,3.0,31.0,10.3,0.0,4,29,7.3,0,1980
17,Pete Holohan,11.0,1.0,-12.0,-12.0,0.0,21.0,296.0,14.1,1.0,22,284,12.9,1,1980
18,Dean Masztak,5.0,,,,,8.0,97.0,12.1,0.0,8,97,12.1,0,1980
19,Nick Vehr,11.0,,,,,7.0,95.0,13.6,0.0,7,95,13.6,0,1980
20,Mike Boushka,11.0,,,,,2.0,28.0,14.0,0.0,2,28,14.0,0,1980
1,Phil Carter,10.0,165.0,727.0,4.4,6.0,14.0,57.0,4.1,0.0,179,784,4.4,6,1981
2,Greg Bell,11.0,92.0,512.0,5.6,4.0,11.0,135.0,12.3,0.0,103,647,6.3,4,1981
3,Chris Smith,7.0,41.0,161.0,3.9,1.0,,,,,41,161,3.9,1,1981
4,John Sweeney,10.0,36.0,168.0,4.7,0.0,9.0,124.0,13.8,1.0,45,292,6.5,1,1981
5,Blair Kiel,11.0,31.0,53.0,1.7,1.0,2.0,-2.0,-1.0,0.0,33,51,1.5,1,1981
6,Tony Hunter,11.0,27.0,68.0,2.5,1.0,28.0,397.0,14.2,2.0,55,465,8.5,3,1981
7,Mark Brooks,9.0,24.0,126.0,5.3,1.0,3.0,20.0,6.7,0.0,27,146,5.4,1,1981
8,Larry Moriarty,10.0,20.0,94.0,4.7,1.0,3.0,30.0,10.0,2.0,23,124,5.4,3,1981
9,John Mosley,9.0,16.0,75.0,4.7,1.0,7.0,79.0,11.3,1.0,23,154,6.7,2,1981
10,Tim Koegel,10.0,14.0,-66.0,-4.7,0.0,,,,,14,-66,-4.7,0,1981
