G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
10,1991,1991-11-09,"Nov 9, 1991",Sat,,(5) Notre Dame, Notre Dame,Home,(13) Tennessee, Tennessee,SEC,L,34,35,8,2,0.0,L 1,
11,1991,1991-11-16,"Nov 16, 1991",Sat,,(12) Notre Dame, Notre Dame,Away,(8) Penn State, Penn State,Ind,L,13,35,8,3,0.0,L 2,
12,1991,1991-11-30,"Nov 30, 1991",Sat,,(18) Notre Dame, Notre Dame,Away,Hawaii,Hawaii,WAC,W,48,42,9,3,0.0,W 1,
13,1991,1992-01-01,"Jan 1, 1992",Wed,,(18) Notre Dame, Notre Dame,Neutral,(3) Florida, Florida,SEC,W,39,28,10,3,0.0,W 2,"Sugar Bowl (Sugar Bowl (New Orleans, LA))"
1,1992,1992-09-05,"Sep 5, 1992",Sat,,(3) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Big Ten,W,42,7,1,0,0.0,W 1,"Chicago, IL"
2,1992,1992-09-12,"Sep 12, 1992",Sat,,(3) Notre Dame, Notre Dame,Home,(6) Michigan, Michigan,Big Ten,T,17,17,1,0,1.0,T 1,
3,1992,1992-09-19,"Sep 19, 1992",Sat,,(7) Notre Dame, Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,52,31,2,0,1.0,W 1,
4,1992,1992-09-26,"Sep 26, 1992",Sat,,(6) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,48,0,3,0,1.0,W 2,
5,1992,1992-10-03,"Oct 3, 1992",Sat,,(6) Notre Dame, Notre Dame,Home,(18) Stanford, Stanford,Pac-10,L,16,33,3,1,1.0,L 1,
6,1992,1992-10-10,"Oct 10, 1992",Sat,,(13) Notre Dame, Notre Dame,Away,Pitt,Pitt,Big East,W,52,21,4,1,1.0,W 1,
7,1992,1992-10-24,"Oct 24, 1992",Sat,,(10) Notre Dame, Notre Dame,Home,BYU,BYU,WAC,W,42,16,5,1,1.0,W 2,
8,1992,1992-10-31,"Oct 31, 1992",Sat,,(10) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,38,7,6,1,1.0,W 3,"East Rutherford, NJ"
9,1992,1992-11-07,"Nov 7, 1992",Sat,,(8) Notre Dame, Notre Dame,Home,(9) Boston College, Boston College,Big East,W,54,7,7,1,1.0,W 4,
10,1992,1992-11-14,"Nov 14, 1992",Sat,,(8) Notre Dame, Notre Dame,Home,(22) Penn State, Penn State,Ind,W,17,16,8,1,1.0,W 5,
11,1992,1992-11-28,"Nov 28, 1992",Sat,,(5) Notre Dame, Notre Dame,Away,(19) USC, USC,Pac-10,W,31,23,9,1,1.0,W 6,
12,1992,1993-01-01,"Jan 1, 1993",Fri,,(5) Notre Dame, Notre Dame,Neutral,(4) Texas A&M, Texas A&M,SWC,W,28,3,10,1,1.0,W 7,"Cotton Bowl (Cotton Bowl (Dallas, TX))"
1,1993,1993-09-04,"Sep 4, 1993",Sat,,(7) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Big Ten,W,27,12,1,0,0.0,W 1,
2,1993,1993-09-11,"Sep 11, 1993",Sat,,(11) Notre Dame, Notre Dame,Away,(3) Michigan, Michigan,Big Ten,W,27,23,2,0,0.0,W 2,
3,1993,1993-09-18,"Sep 18, 1993",Sat,,(4) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Big Ten,W,36,14,3,0,0.0,W 3,
4,1993,1993-09-25,"Sep 25, 1993",Sat,,(4) Notre Dame, Notre Dame,Away,Purdue,Purdue,Big Ten,W,17,0,4,0,0.0,W 4,
5,1993,1993-10-02,"Oct 2, 1993",Sat,,(4) Notre Dame, Notre Dame,Away,Stanford,Stanford,Pac-10,W,48,20,5,0,0.0,W 5,
6,1993,1993-10-09,"Oct 9, 1993",Sat,,(4) Notre Dame, Notre Dame,Home,Pitt,Pitt,Big East,W,44,0,6,0,0.0,W 6,
7,1993,1993-10-16,"Oct 16, 1993",Sat,,(3) Notre Dame, Notre Dame,Away,BYU,BYU,WAC,W,45,20,7,0,0.0,W 7,
8,1993,1993-10-23,"Oct 23, 1993",Sat,,(2) Notre Dame, Notre Dame,Home,USC,USC,Pac-10,W,31,13,8,0,0.0,W 8,
9,1993,1993-10-30,"Oct 30, 1993",Sat,,(2) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,58,27,9,0,0.0,W 9,"Philadelphia, PA"
10,1993,1993-11-13,"Nov 13, 1993",Sat,,(2) Notre Dame, Notre Dame,Home,(1) Florida State, Florida State,ACC,W,31,24,10,0,0.0,W 10,
11,1993,1993-11-20,"Nov 20, 1993",Sat,,(1) Notre Dame, Notre Dame,Home,(17) Boston College, Boston College,Big East,L,39,41,10,1,0.0,L 1,
12,1993,1994-01-01,"Jan 1, 1994",Sat,,(4) Notre Dame, Notre Dame,Neutral,(7) Texas A&M, Texas A&M,SWC,W,24,21,11,1,0.0,W 1,"Cotton Bowl (Cotton Bowl (Dallas, TX))"
1,1994,1994-09-03,"Sep 3, 1994",Sat,,(3) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Big Ten,W,42,15,1,0,0.0,W 1,"Chicago, IL"
2,1994,1994-09-10,"Sep 10, 1994",Sat,,(3) Notre Dame, Notre Dame,Home,(6) Michigan, Michigan,Big Ten,L,24,26,1,1,0.0,L 1,
3,1994,1994-09-17,"Sep 17, 1994",Sat,,(8) Notre Dame, Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,21,20,2,1,0.0,W 1,
4,1994,1994-09-24,"Sep 24, 1994",Sat,,(9) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,39,21,3,1,0.0,W 2,
5,1994,1994-10-01,"Oct 1, 1994",Sat,,(8) Notre Dame, Notre Dame,Home,Stanford,Stanford,Pac-10,W,34,15,4,1,0.0,W 3,
6,1994,1994-10-08,"Oct 8, 1994",Sat,,(8) Notre Dame, Notre Dame,Away,Boston College,Boston College,Big East,L,11,30,4,2,0.0,L 1,
7,1994,1994-10-15,"Oct 15, 1994",Sat,,(17) Notre Dame, Notre Dame,Home,BYU,BYU,WAC,L,14,21,4,3,0.0,L 2,
8,1994,1994-10-29,"Oct 29, 1994",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,58,21,5,3,0.0,W 1,
9,1994,1994-11-12,"Nov 12, 1994",Sat,,Notre Dame,Notre Dame,Away,(8) Florida State, Florida State,ACC,L,16,23,5,4,0.0,L 1,"Orlando, FL"
10,1994,1994-11-19,"Nov 19, 1994",Sat,,Notre Dame,Notre Dame,Home,Air Force,Air Force,WAC,W,42,30,6,4,0.0,W 1,
