G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
11,2001,2001-12-01,"Dec 1, 2001",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Big Ten,W,24,18,5,6,,W 1,
1,2002,2002-08-31,"Aug 31, 2002",Sat,,Notre Dame,Notre Dame,Neutral,(21) Maryland, Maryland,ACC,W,22,0,1,0,,W 1,"Kick-off Classic (East Rutherford, NJ)"
2,2002,2002-09-07,"Sep 7, 2002",Sat,,(23) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,24,17,2,0,,W 2,
3,2002,2002-09-14,"Sep 14, 2002",Sat,,(20) Notre Dame, Notre Dame,Home,(7) Michigan, Michigan,Big Ten,W,25,23,3,0,,W 3,
4,2002,2002-09-21,"Sep 21, 2002",Sat,,(12) Notre Dame, Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,21,17,4,0,,W 4,
5,2002,2002-10-05,"Oct 5, 2002",Sat,,(9) Notre Dame, Notre Dame,Home,Stanford,Stanford,Pac-10,W,31,7,5,0,,W 5,
6,2002,2002-10-12,"Oct 12, 2002",Sat,,(8) Notre Dame, Notre Dame,Home,Pitt,Pitt,Big East,W,14,6,6,0,,W 6,
7,2002,2002-10-19,"Oct 19, 2002",Sat,,(7) Notre Dame, Notre Dame,Away,(18) Air Force, Air Force,MWC,W,21,14,7,0,,W 7,
8,2002,2002-10-26,"Oct 26, 2002",Sat,,(6) Notre Dame, Notre Dame,Away,(11) Florida State, Florida State,ACC,W,34,24,8,0,,W 8,
9,2002,2002-11-02,"Nov 2, 2002",Sat,,(4) Notre Dame, Notre Dame,Home,Boston College,Boston College,Big East,L,7,14,8,1,,L 1,
10,2002,2002-11-09,"Nov 9, 2002",Sat,,(9) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,30,23,9,1,,W 1,"Baltimore, MD"
11,2002,2002-11-23,"Nov 23, 2002",Sat,,(8) Notre Dame, Notre Dame,Home,Rutgers,Rutgers,Big East,W,42,0,10,1,,W 2,
12,2002,2002-11-30,"Nov 30, 2002",Sat,,(7) Notre Dame, Notre Dame,Away,(6) USC, USC,Pac-10,L,13,44,10,2,,L 1,
13,2002,2003-01-01,"Jan 1, 2003",Wed,,(11) Notre Dame, Notre Dame,Neutral,(17) North Carolina State, North Carolina State,ACC,L,6,28,10,3,,L 2,"Gator Bowl (Gator Bowl (Jacksonville, FL))"
1,2003,2003-09-06,"Sep 6, 2003",Sat,,(19) Notre Dame, Notre Dame,Home,Washington State,Washington State,Pac-10,W,29,26,1,0,,W 1,
2,2003,2003-09-13,"Sep 13, 2003",Sat,,(15) Notre Dame, Notre Dame,Away,(5) Michigan, Michigan,Big Ten,L,0,38,1,1,,L 1,
3,2003,2003-09-20,"Sep 20, 2003",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Big Ten,L,16,22,1,2,,L 2,
4,2003,2003-09-27,"Sep 27, 2003",Sat,,Notre Dame,Notre Dame,Away,(22) Purdue, Purdue,Big Ten,L,10,23,1,3,,L 3,
5,2003,2003-10-11,"Oct 11, 2003",Sat,,Notre Dame,Notre Dame,Away,(15) Pitt, Pitt,Big East,W,20,14,2,3,,W 1,
6,2003,2003-10-18,"Oct 18, 2003",Sat,,Notre Dame,Notre Dame,Home,(5) USC, USC,Pac-10,L,14,45,2,4,,L 1,
7,2003,2003-10-25,"Oct 25, 2003",Sat,,Notre Dame,Notre Dame,Away,Boston College,Boston College,Big East,L,25,27,2,5,,L 2,
8,2003,2003-11-01,"Nov 1, 2003",Sat,,Notre Dame,Notre Dame,Home,(5) Florida State, Florida State,ACC,L,0,37,2,6,,L 3,
9,2003,2003-11-08,"Nov 8, 2003",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,27,24,3,6,,W 1,
10,2003,2003-11-15,"Nov 15, 2003",Sat,,Notre Dame,Notre Dame,Home,BYU,BYU,MWC,W,33,14,4,6,,W 2,
11,2003,2003-11-29,"Nov 29, 2003",Sat,,Notre Dame,Notre Dame,Away,Stanford,Stanford,Pac-10,W,57,7,5,6,,W 3,
12,2003,2003-12-06,"Dec 6, 2003",Sat,,Notre Dame,Notre Dame,Away,Syracuse,Syracuse,Big East,L,12,38,5,7,,L 1,
1,2004,2004-09-04,"Sep 4, 2004",Sat,,Notre Dame,Notre Dame,Away,BYU,BYU,MWC,L,17,20,0,1,,L 1,
2,2004,2004-09-11,"Sep 11, 2004",Sat,,Notre Dame,Notre Dame,Home,(8) Michigan, Michigan,Big Ten,W,28,20,1,1,,W 1,
3,2004,2004-09-18,"Sep 18, 2004",Sat,,Notre Dame,Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,31,24,2,1,,W 2,
4,2004,2004-09-25,"Sep 25, 2004",Sat,,Notre Dame,Notre Dame,Home,Washington,Washington,Pac-10,W,38,3,3,1,,W 3,
5,2004,2004-10-02,"Oct 2, 2004",Sat,,Notre Dame,Notre Dame,Home,(15) Purdue, Purdue,Big Ten,L,16,41,3,2,,L 1,
6,2004,2004-10-09,"Oct 9, 2004",Sat,,Notre Dame,Notre Dame,Home,Stanford,Stanford,Pac-10,W,23,15,4,2,,W 1,
7,2004,2004-10-16,"Oct 16, 2004",Sat,,Notre Dame,Notre Dame,Neutral,Navy,Navy,Ind,W,27,9,5,2,,W 2,"East Rutherford, NJ"
8,2004,2004-10-23,"Oct 23, 2004",Sat,,(24) Notre Dame, Notre Dame,Home,Boston College,Boston College,Big East,L,23,24,5,3,,L 1,
9,2004,2004-11-06,"Nov 6, 2004",Sat,,Notre Dame,Notre Dame,Away,(9) Tennessee, Tennessee,SEC,W,17,13,6,3,,W 1,
10,2004,2004-11-13,"Nov 13, 2004",Sat,,(24) Notre Dame, Notre Dame,Home,Pitt,Pitt,Big East,L,38,41,6,4,,L 1,
11,2004,2004-11-27,"Nov 27, 2004",Sat,,Notre Dame,Notre Dame,Away,(1) USC, USC,Pac-10,L,10,41,6,5,,L 2,
12,2004,2004-12-28,"Dec 28, 2004",Tue,,Notre Dame,Notre Dame,Neutral,Oregon State,Oregon State,Pac-10,L,21,38,6,6,,L 3,"Insight Bowl (Insight Bowl (Phoenix, AZ))"
1,2005,2005-09-03,"Sep 3, 2005",Sat,,Notre Dame,Notre Dame,Away,(23) Pitt, Pitt,Big East,W,42,21,1,0,,W 1,
2,2005,2005-09-10,"Sep 10, 2005",Sat,,(20) Notre Dame, Notre Dame,Away,(3) Michigan, Michigan,Big Ten,W,17,10,2,0,,W 2,
3,2005,2005-09-17,"Sep 17, 2005",Sat,,(10) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Big Ten,L,41,44,2,1,,L 1,
4,2005,2005-09-24,"Sep 24, 2005",Sat,,(16) Notre Dame, Notre Dame,Away,Washington,Washington,Pac-10,W,36,17,3,1,,W 1,
5,2005,2005-10-01,"Oct 1, 2005",Sat,,(13) Notre Dame, Notre Dame,Away,(22) Purdue, Purdue,Big Ten,W,49,28,4,1,,W 2,
6,2005,2005-10-15,"Oct 15, 2005",Sat,,(9) Notre Dame, Notre Dame,Home,(1) USC, USC,Pac-10,L,31,34,4,2,,L 1,
7,2005,2005-10-22,"Oct 22, 2005",Sat,,(9) Notre Dame, Notre Dame,Home,BYU,BYU,MWC,W,49,23,5,2,,W 1,
8,2005,2005-11-05,"Nov 5, 2005",Sat,,(8) Notre Dame, Notre Dame,Home,Tennessee,Tennessee,SEC,W,41,21,6,2,,W 2,
9,2005,2005-11-12,"Nov 12, 2005",Sat,,(7) Notre Dame, Notre Dame,Home,Navy,Navy,Ind,W,42,21,7,2,,W 3,
10,2005,2005-11-19,"Nov 19, 2005",Sat,,(6) Notre Dame, Notre Dame,Home,Syracuse,Syracuse,Big East,W,34,10,8,2,,W 4,
11,2005,2005-11-26,"Nov 26, 2005",Sat,,(6) Notre Dame, Notre Dame,Away,Stanford,Stanford,Pac-10,W,38,31,9,2,,W 5,
12,2005,2006-01-02,"Jan 2, 2006",Mon,,(5) Notre Dame, Notre Dame,Neutral,(4) Ohio State, Ohio State,Big Ten,L,20,34,9,3,,L 1,"Fiesta Bowl (Fiesta Bowl (Tempe, AZ))"
1,2006,2006-09-02,"Sep 2, 2006",Sat,,(2) Notre Dame, Notre Dame,Away,Georgia Tech,Georgia Tech,ACC,W,14,10,1,0,,W 1,
2,2006,2006-09-09,"Sep 9, 2006",Sat,,(4) Notre Dame, Notre Dame,Home,(19) Penn State, Penn State,Big Ten,W,41,17,2,0,,W 2,
3,2006,2006-09-16,"Sep 16, 2006",Sat,,(2) Notre Dame, Notre Dame,Home,(11) Michigan, Michigan,Big Ten,L,21,47,2,1,,L 1,
4,2006,2006-09-23,"Sep 23, 2006",Sat,,(12) Notre Dame, Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,40,37,3,1,,W 1,
5,2006,2006-09-30,"Sep 30, 2006",Sat,,(12) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,35,21,4,1,,W 2,
6,2006,2006-10-07,"Oct 7, 2006",Sat,,(12) Notre Dame, Notre Dame,Home,Stanford,Stanford,Pac-10,W,31,10,5,1,,W 3,
7,2006,2006-10-21,"Oct 21, 2006",Sat,,(10) Notre Dame, Notre Dame,Home,UCLA,UCLA,Pac-10,W,20,17,6,1,,W 4,
8,2006,2006-10-28,"Oct 28, 2006",Sat,,(11) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,38,14,7,1,,W 5,"Baltimore, MD"
9,2006,2006-11-04,"Nov 4, 2006",Sat,,(11) Notre Dame, Notre Dame,Home,North Carolina,North Carolina,ACC,W,45,26,8,1,,W 6,
10,2006,2006-11-11,"Nov 11, 2006",Sat,,(9) Notre Dame, Notre Dame,Away,Air Force,Air Force,MWC,W,39,17,9,1,,W 7,
11,2006,2006-11-18,"Nov 18, 2006",Sat,,(6) Notre Dame, Notre Dame,Home,Army,Army,Ind,W,41,9,10,1,,W 8,
12,2006,2006-11-25,"Nov 25, 2006",Sat,,(6) Notre Dame, Notre Dame,Away,(3) USC, USC,Pac-10,L,24,44,10,2,,L 1,
13,2006,2007-01-03,"Jan 3, 2007",Wed,,(11) Notre Dame, Notre Dame,Neutral,(4) LSU, LSU,SEC,L,14,41,10,3,,L 2,"Sugar Bowl (Sugar Bowl (New Orleans, LA))"
1,2009,2009-09-05,"Sep 5, 2009",Sat,,(23) Notre Dame, Notre Dame,Home,Nevada,Nevada,WAC,W,35,0,1,0,,W 1,
2,2009,2009-09-12,"Sep 12, 2009",Sat,,(18) Notre Dame, Notre Dame,Away,Michigan,Michigan,Big Ten,L,34,38,1,1,,L 1,
3,2009,2009-09-19,"Sep 19, 2009",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Big Ten,W,33,30,2,1,,W 1,
4,2009,2009-09-26,"Sep 26, 2009",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Big Ten,W,24,21,3,1,,W 2,
5,2009,2009-10-03,"Oct 3, 2009",Sat,,Notre Dame,Notre Dame,Home,Washington,Washington,Pac-10,W,37,30,4,1,,W 3,
6,2009,2009-10-17,"Oct 17, 2009",Sat,,(25) Notre Dame, Notre Dame,Home,(6) USC, USC,Pac-10,L,27,34,4,2,,L 1,
7,2009,2009-10-24,"Oct 24, 2009",Sat,,Notre Dame,Notre Dame,Home,Boston College,Boston College,ACC,W,20,16,5,2,,W 1,
8,2009,2009-10-31,"Oct 31, 2009",Sat,,(25) Notre Dame, Notre Dame,Neutral,Washington State,Washington State,Pac-10,W,40,14,6,2,,W 2,"San Antonio, TX"
9,2009,2009-11-07,"Nov 7, 2009",Sat,,(19) Notre Dame, Notre Dame,Home,Navy,Navy,Ind,L,21,23,6,3,,L 1,
10,2009,2009-11-14,"Nov 14, 2009",Sat,,Notre Dame,Notre Dame,Away,(8) Pitt, Pitt,Big East,L,22,27,6,4,,L 2,
11,2009,2009-11-21,"Nov 21, 2009",Sat,,Notre Dame,Notre Dame,Home,Connecticut,Connecticut,Big East,L,30,33,6,5,,L 3,
12,2009,2009-11-28,"Nov 28, 2009",Sat,,Notre Dame,Notre Dame,Away,Stanford,Stanford,Pac-10,L,38,45,6,6,,L 4,
1,2011,2011-09-03,"Sep 3, 2011",Sat,,(16) Notre Dame, Notre Dame,Home,South Florida,South Florida,Big East,L,20,23,0,1,,L 1,
2,2011,2011-09-10,"Sep 10, 2011",Sat,,Notre Dame,Notre Dame,Away,Michigan,Michigan,Big Ten,L,31,35,0,2,,L 2,
3,2011,2011-09-17,"Sep 17, 2011",Sat,,Notre Dame,Notre Dame,Home,(15) Michigan State, Michigan State,Big Ten,W,31,13,1,2,,W 1,
4,2011,2011-09-24,"Sep 24, 2011",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Big East,W,15,12,2,2,,W 2,
5,2011,2011-10-01,"Oct 1, 2011",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Big Ten,W,38,10,3,2,,W 3,
6,2011,2011-10-08,"Oct 8, 2011",Sat,,Notre Dame,Notre Dame,Home,Air Force,Air Force,MWC,W,59,33,4,2,,W 4,
7,2011,2011-10-22,"Oct 22, 2011",Sat,,Notre Dame,Notre Dame,Home,USC,USC,Pac-12,L,17,31,4,3,,L 1,
8,2011,2011-10-29,"Oct 29, 2011",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,56,14,5,3,,W 1,
9,2011,2011-11-05,"Nov 5, 2011",Sat,,Notre Dame,Notre Dame,Away,Wake Forest,Wake Forest,ACC,W,24,17,6,3,,W 2,
10,2011,2011-11-12,"Nov 12, 2011",Sat,,Notre Dame,Notre Dame,Away,Maryland,Maryland,ACC,W,45,21,7,3,,W 3,"Landover, MD"
11,2011,2011-11-19,"Nov 19, 2011",Sat,,(24) Notre Dame, Notre Dame,Home,Boston College,Boston College,ACC,W,16,14,8,3,,W 4,
12,2011,2011-11-26,"Nov 26, 2011",Sat,,(22) Notre Dame, Notre Dame,Away,(4) Stanford, Stanford,Pac-12,L,14,28,8,4,,L 1,
13,2011,2011-12-29,"Dec 29, 2011",Thu,,Notre Dame,Notre Dame,Neutral,(25) Florida State, Florida State,ACC,L,14,18,8,5,,L 2,"Champs Sports Bowl (Champs Sports Bowl (Orlando, FL))"
1,2012,2012-09-01,"Sep 1, 2012",Sat,,Notre Dame,Notre Dame,Neutral,Navy,Navy,Ind,W,50,10,1,0,,W 1,"Dublin, Ireland"
2,2012,2012-09-08,"Sep 8, 2012",Sat,,(22) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,20,17,2,0,,W 2,
3,2012,2012-09-15,"Sep 15, 2012",Sat,,(20) Notre Dame, Notre Dame,Away,(10) Michigan State, Michigan State,Big Ten,W,20,3,3,0,,W 3,
4,2012,2012-09-22,"Sep 22, 2012",Sat,,(11) Notre Dame, Notre Dame,Home,(18) Michigan, Michigan,Big Ten,W,13,6,4,0,,W 4,
5,2012,2012-10-06,"Oct 6, 2012",Sat,,(9) Notre Dame, Notre Dame,Home,Miami (FL),Miami FL,ACC,W,41,3,5,0,,W 5,"Chicago, IL"
6,2012,2012-10-13,"Oct 13, 2012",Sat,,(7) Notre Dame, Notre Dame,Home,(17) Stanford, Stanford,Pac-12,W,20,13,6,0,,W 6,
7,2012,2012-10-20,"Oct 20, 2012",Sat,,(5) Notre Dame, Notre Dame,Home,BYU,BYU,Ind,W,17,14,7,0,,W 7,
8,2012,2012-10-27,"Oct 27, 2012",Sat,,(5) Notre Dame, Notre Dame,Away,(8) Oklahoma, Oklahoma,Big 12,W,30,13,8,0,,W 8,
9,2012,2012-11-03,"Nov 3, 2012",Sat,,(4) Notre Dame, Notre Dame,Home,Pitt,Pitt,Big East,W,29,26,9,0,,W 9,
10,2012,2012-11-10,"Nov 10, 2012",Sat,,(4) Notre Dame, Notre Dame,Away,Boston College,Boston College,ACC,W,21,6,10,0,,W 10,
11,2012,2012-11-17,"Nov 17, 2012",Sat,,(3) Notre Dame, Notre Dame,Home,Wake Forest,Wake Forest,ACC,W,38,0,11,0,,W 11,
12,2012,2012-11-24,"Nov 24, 2012",Sat,,(1) Notre Dame, Notre Dame,Away,USC,USC,Pac-12,W,22,13,12,0,,W 12,
13,2012,2013-01-07,"Jan 7, 2013",Mon,,(1) Notre Dame, Notre Dame,Neutral,(2) Alabama, Alabama,SEC,L,14,42,12,1,,L 1,"BCS Championship (BCS Championship (Miami, FL))"
1,2013,2013-08-31,"Aug 31, 2013",Sat,3:30 PM,(14) Notre Dame, Notre Dame,Home,Temple,Temple,American,W,28,6,1,0,,W 1,
2,2013,2013-09-07,"Sep 7, 2013",Sat,8:00 PM,(14) Notre Dame, Notre Dame,Away,(17) Michigan, Michigan,Big Ten,L,30,41,1,1,,L 1,
3,2013,2013-09-14,"Sep 14, 2013",Sat,8:00 PM,(21) Notre Dame, Notre Dame,Away,Purdue,Purdue,Big Ten,W,31,24,2,1,,W 1,
4,2013,2013-09-21,"Sep 21, 2013",Sat,3:30 PM,(22) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Big Ten,W,17,13,3,1,,W 2,
5,2013,2013-09-28,"Sep 28, 2013",Sat,3:30 PM,(22) Notre Dame, Notre Dame,Home,(14) Oklahoma, Oklahoma,Big 12,L,21,35,3,2,,L 1,
6,2013,2013-10-05,"Oct 5, 2013",Sat,7:30 PM,Notre Dame,Notre Dame,Neutral,(22) Arizona State, Arizona State,Pac-12,W,37,34,4,2,,W 1,"AT&T Stadium - Arlington, TX"
7,2013,2013-10-19,"Oct 19, 2013",Sat,7:30 PM,Notre Dame,Notre Dame,Home,USC,USC,Pac-12,W,14,10,5,2,,W 2,
8,2013,2013-10-26,"Oct 26, 2013",Sat,5:00 PM,Notre Dame,Notre Dame,Away,Air Force,Air Force,MWC,W,45,10,6,2,,W 3,
9,2013,2013-11-02,"Nov 2, 2013",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,38,34,7,2,,W 4,
10,2013,2013-11-09,"Nov 9, 2013",Sat,8:00 PM,(24) Notre Dame, Notre Dame,Away,Pitt,Pitt,ACC,L,21,28,7,3,,L 1,
11,2013,2013-11-23,"Nov 23, 2013",Sat,3:30 PM,Notre Dame,Notre Dame,Home,BYU,BYU,Ind,W,23,13,8,3,,W 1,
12,2013,2013-11-30,"Nov 30, 2013",Sat,7:00 PM,(25) Notre Dame, Notre Dame,Away,(8) Stanford, Stanford,Pac-12,L,20,27,8,4,,L 1,
13,2013,2013-12-28,"Dec 28, 2013",Sat,12:00 PM,(25) Notre Dame, Notre Dame,Neutral,Rutgers,Rutgers,American,W,29,16,9,4,,W 1,"Pinstripe Bowl (Bronx, NY)"
1,2014,2014-08-30,"Aug 30, 2014",Sat,3:30 PM,(17) Notre Dame, Notre Dame,Home,Rice,Rice,CUSA,W,48,17,1,0,,W 1,
2,2014,2014-09-06,"Sep 6, 2014",Sat,7:30 PM,(16) Notre Dame, Notre Dame,Home,Michigan,Michigan,Big Ten,W,31,0,2,0,,W 2,
3,2014,2014-09-13,"Sep 13, 2014",Sat,7:30 PM,(11) Notre Dame, Notre Dame,Neutral,Purdue,Purdue,Big Ten,W,30,14,3,0,,W 3,"Lucas Oil Stadium - Indianapolis, IN"
4,2014,2014-09-27,"Sep 27, 2014",Sat,8:00 PM,(8) Notre Dame, Notre Dame,Neutral,Syracuse,Syracuse,ACC,W,31,15,4,0,,W 4,"MetLife Stadium - East Rutherford, NJ"
5,2014,2014-10-04,"Oct 4, 2014",Sat,3:30 PM,(9) Notre Dame, Notre Dame,Home,(14) Stanford, Stanford,Pac-12,W,17,14,5,0,,W 5,
6,2014,2014-10-11,"Oct 11, 2014",Sat,3:30 PM,(6) Notre Dame, Notre Dame,Home,North Carolina,North Carolina,ACC,W,50,43,6,0,,W 6,
7,2014,2014-10-18,"Oct 18, 2014",Sat,8:00 PM,(5) Notre Dame, Notre Dame,Away,(2) Florida State, Florida State,ACC,L,27,31,6,1,,L 1,
8,2014,2014-11-01,"Nov 1, 2014",Sat,8:00 PM,(6) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,49,39,7,1,,W 1,"FedEx Field - Landover, MD"
9,2014,2014-11-08,"Nov 8, 2014",Sat,3:30 PM,(8) Notre Dame, Notre Dame,Away,(11) Arizona State, Arizona State,Pac-12,L,31,55,7,2,,L 1,
10,2014,2014-11-15,"Nov 15, 2014",Sat,3:30 PM,(15) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Big Ten,L,40,43,7,3,,L 2,
11,2014,2014-11-22,"Nov 22, 2014",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Louisville,Louisville,ACC,L,28,31,7,4,,L 3,
12,2014,2014-11-29,"Nov 29, 2014",Sat,3:30 PM,Notre Dame,Notre Dame,Away,USC,USC,Pac-12,L,14,49,7,5,,L 4,
13,2014,2014-12-30,"Dec 30, 2014",Tue,3:00 PM,Notre Dame,Notre Dame,Neutral,(22) LSU, LSU,SEC,W,31,28,8,5,,W 1,"Music City Bowl (Nashville, TN)"
1,2015,2015-09-05,"Sep 5, 2015",Sat,7:30 PM,(11) Notre Dame, Notre Dame,Home,Texas,Texas,Big 12,W,38,3,1,0,,W 1,
2,2015,2015-09-12,"Sep 12, 2015",Sat,3:30 PM,(9) Notre Dame, Notre Dame,Away,Virginia,Virginia,ACC,W,34,27,2,0,,W 2,
3,2015,2015-09-19,"Sep 19, 2015",Sat,3:30 PM,(8) Notre Dame, Notre Dame,Home,(14) Georgia Tech, Georgia Tech,ACC,W,30,22,3,0,,W 3,
4,2015,2015-09-26,"Sep 26, 2015",Sat,3:30 PM,(6) Notre Dame, Notre Dame,Home,Massachusetts,Massachusetts,MAC,W,62,27,4,0,,W 4,
5,2015,2015-10-03,"Oct 3, 2015",Sat,8:00 PM,(6) Notre Dame, Notre Dame,Away,(12) Clemson, Clemson,ACC,L,22,24,4,1,,L 1,
6,2015,2015-10-10,"Oct 10, 2015",Sat,3:30 PM,(15) Notre Dame, Notre Dame,Home,Navy,Navy,American,W,41,24,5,1,,W 1,
7,2015,2015-10-17,"Oct 17, 2015",Sat,7:30 PM,(14) Notre Dame, Notre Dame,Home,USC,USC,Pac-12,W,41,31,6,1,,W 2,
8,2015,2015-10-31,"Oct 31, 2015",Sat,8:00 PM,(9) Notre Dame, Notre Dame,Away,(21) Temple, Temple,American,W,24,20,7,1,,W 3,
9,2015,2015-11-07,"Nov 7, 2015",Sat,12:00 PM,(8) Notre Dame, Notre Dame,Away,Pitt,Pitt,ACC,W,42,30,8,1,,W 4,
10,2015,2015-11-14,"Nov 14, 2015",Sat,3:30 PM,(6) Notre Dame, Notre Dame,Home,Wake Forest,Wake Forest,ACC,W,28,7,9,1,,W 5,
11,2015,2015-11-21,"Nov 21, 2015",Sat,7:30 PM,(5) Notre Dame, Notre Dame,Neutral,Boston College,Boston College,ACC,W,19,16,10,1,,W 6,Fenway Park - Boston Massachusetts
12,2015,2015-11-28,"Nov 28, 2015",Sat,7:30 PM,(4) Notre Dame, Notre Dame,Away,(13) Stanford, Stanford,Pac-12,L,36,38,10,2,,L 1,
13,2015,2016-01-01,"Jan 1, 2016",Fri,1:00 PM,(8) Notre Dame, Notre Dame,Neutral,(7) Ohio State, Ohio State,Big Ten,L,28,44,10,3,,L 2,"Fiesta Bowl (Glendale, AZ)"
1,2016,2016-09-04,"Sep 4, 2016",Sun,7:30 PM,(10) Notre Dame, Notre Dame,Away,Texas,Texas,Big 12,L,47,50,0,1,,L 1,
2,2016,2016-09-10,"Sep 10, 2016",Sat,3:30 PM,(18) Notre Dame, Notre Dame,Home,Nevada,Nevada,MWC,W,39,10,1,1,,W 1,
3,2016,2016-09-17,"Sep 17, 2016",Sat,7:30 PM,(18) Notre Dame, Notre Dame,Home,(12) Michigan State, Michigan State,Big Ten,L,28,36,1,2,,L 1,
4,2016,2016-09-24,"Sep 24, 2016",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Duke,Duke,ACC,L,35,38,1,3,,L 2,
5,2016,2016-10-01,"Oct 1, 2016",Sat,12:00 PM,Notre Dame,Notre Dame,Neutral,Syracuse,Syracuse,ACC,W,50,33,2,3,,W 1,
6,2016,2016-10-08,"Oct 8, 2016",Sat,12:00 PM,Notre Dame,Notre Dame,Away,North Carolina State,North Carolina State,ACC,L,3,10,2,4,,L 1,
7,2016,2016-10-15,"Oct 15, 2016",Sat,7:30 PM,Notre Dame,Notre Dame,Home,Stanford,Stanford,Pac-12,L,10,17,2,5,,L 2,
8,2016,2016-10-29,"Oct 29, 2016",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Miami (FL),Miami FL,ACC,W,30,27,3,5,,W 1,
9,2016,2016-11-05,"Nov 5, 2016",Sat,11:30 AM,Notre Dame,Notre Dame,Neutral,Navy,Navy,American,L,27,28,3,6,,L 1,
10,2016,2016-11-12,"Nov 12, 2016",Sat,3:30 PM,Notre Dame,Notre Dame,Neutral,Army,Army,Ind,W,44,6,4,6,,W 1,
11,2016,2016-11-19,"Nov 19, 2016",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Virginia Tech,Virginia Tech,ACC,L,31,34,4,7,,L 1,
12,2016,2016-11-26,"Nov 26, 2016",Sat,3:30 PM,Notre Dame,Notre Dame,Away,(12) USC, USC,Pac-12,L,27,45,4,8,,L 2,
1,2017,2017-09-02,"Sep 2, 2017",Sat,3:30 PM,Notre Dame,Notre Dame,Home,Temple,Temple,American,W,49,16,1,0,,W 1,"Notre Dame Stadium - South Bend, Indiana"
2,2017,2017-09-09,"Sep 9, 2017",Sat,7:30 PM,(24) Notre Dame, Notre Dame,Home,(15) Georgia, Georgia,SEC,L,19,20,1,1,,L 1,"Notre Dame Stadium - South Bend, Indiana"
3,2017,2017-09-16,"Sep 16, 2017",Sat,3:30 PM,Notre Dame,Notre Dame,Away,Boston College,Boston College,ACC,W,49,20,2,1,,W 1,"Alumni Stadium - Chestnut Hill, Massachusetts"
4,2017,2017-09-23,"Sep 23, 2017",Sat,8:00 PM,Notre Dame,Notre Dame,Away,Michigan State,Michigan State,Big Ten,W,38,18,3,1,,W 2,"Spartan Stadium - East Lansing, Michigan"
5,2017,2017-09-30,"Sep 30, 2017",Sat,5:00 PM,(22) Notre Dame, Notre Dame,Home,Miami (OH),Miami OH,MAC,W,52,17,4,1,,W 3,"Notre Dame Stadium - South Bend, Indiana"
6,2017,2017-10-07,"Oct 7, 2017",Sat,3:30 PM,(21) Notre Dame, Notre Dame,Away,North Carolina,North Carolina,ACC,W,33,10,5,1,,W 4,"Kenan Memorial Stadium - Chapel Hill, North Carolina"
7,2017,2017-10-21,"Oct 21, 2017",Sat,7:30 PM,(13) Notre Dame, Notre Dame,Home,(11) USC, USC,Pac-12,W,49,14,6,1,,W 5,"Notre Dame Stadium - South Bend, Indiana"
8,2017,2017-10-28,"Oct 28, 2017",Sat,3:30 PM,(9) Notre Dame, Notre Dame,Home,(14) North Carolina State, North Carolina State,ACC,W,35,14,7,1,,W 6,"Notre Dame Stadium - South Bend, Indiana"
9,2017,2017-11-04,"Nov 4, 2017",Sat,3:30 PM,(5) Notre Dame, Notre Dame,Home,Wake Forest,Wake Forest,ACC,W,48,37,8,1,,W 7,"Notre Dame Stadium - South Bend, Indiana"
10,2017,2017-11-11,"Nov 11, 2017",Sat,8:00 PM,(3) Notre Dame, Notre Dame,Away,(7) Miami (FL), Miami FL,ACC,L,8,41,8,2,,L 1,"Hard Rock Stadium - Miami Gardens, Florida"
11,2017,2017-11-18,"Nov 18, 2017",Sat,3:30 PM,(9) Notre Dame, Notre Dame,Home,Navy,Navy,American,W,24,17,9,2,,W 1,"Notre Dame Stadium - South Bend, Indiana"
